Year,Units,Вид частиц РМ,Регионы,Город,Value
2014,мг/метр куб,взвешенные частицы РМ-10,,п.Торетам,0.0036
2015,мг/метр куб,взвешенные частицы РМ-10,,п.Торетам,0.0006
2016,мг/метр куб,взвешенные частицы РМ-10,,п.Торетам,0.0001
2017,мг/метр куб,взвешенные частицы РМ-10,,п.Торетам,0.0
2018,мг/метр куб,взвешенные частицы РМ-10,,п.Торетам,0.0
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Актау,0.063
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Актау,0.01
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Актау,0.1
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Актау,0.032
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Жанаозен,0.0301
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Жанаозен,0.046
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Жанаозен,0.02
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Жанаозен,0.002
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Жанаозен,0.0
2015,мг/метр куб,взвешенные частицы РМ-10,,п.Бейнеу,0.0807
2016,мг/метр куб,взвешенные частицы РМ-10,,п.Бейнеу,0.06
2017,мг/метр куб,взвешенные частицы РМ-10,,п.Бейнеу,0.05
2018,мг/метр куб,взвешенные частицы РМ-10,,п.Бейнеу,0.011
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Павлодар,0.029
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Павлодар,0.039
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Павлодар,0.016
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Павлодар,0.0069
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Павлодар,0.0066
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Экибастуз,0.0272
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Экибастуз,0.022
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Экибастуз,0.02
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Экибастуз,0.01
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Экибастуз,0.0057
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Аксу,0.016
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Аксу,0.023
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Аксу,0.02
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Петропавловск,0.0069
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Петропавловск,0.012
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Петропавловск,0.015
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Петропавловск,0.0024
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Петропавловск,0.01
2015,мг/метр куб,взвешенные частицы РМ-10,г.Шымкент,,0.057
2016,мг/метр куб,взвешенные частицы РМ-10,г.Шымкент,,0.1
2017,мг/метр куб,взвешенные частицы РМ-10,г.Шымкент,,0.1
2018,мг/метр куб,взвешенные частицы РМ-10,г.Шымкент,,0.053
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Туркестан,0.058
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Туркестан,0.149
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Туркестан,0.0
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Кентау,0.007
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Кентау,0.0
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Кентау,0.0
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Кентау,0.008
